id,imdb_votes,number_in_season,number_in_series,original_air_date,season,title,us_viewers_in_millions,imdb_score
354,575.0,19,354,2005-05-08,16,Thank God It's Doomsday,10.05,7.3
4,1701.0,4,4,1990-01-28,1,There's No Disgrace Like Home,20.2,7.8
383,656.0,5,383,2006-11-12,18,G.I. (Annoyed Grunt),11.43,6.9
485,505.0,21,485,2011-05-15,22,500 Keys,6.0,7.3
483,486.0,19,483,2011-05-01,22,The Real Housewives of Fat Tony,6.1,6.6
56,1233.0,21,56,1992-04-09,3,Black Widower,17.3,8.2
230,876.0,4,230,1999-10-31,11,Treehouse of Horror X,8.7,7.7
165,1137.0,12,165,1997-02-02,8,Mountain of Madness,9.1,8.6
33,1246.0,20,33,1991-05-02,2,The War of the Simpsons,19.7,7.9
264,691.0,16,264,2001-03-11,12,"Bye, Bye, Nerdie",16.1,6.5
66,1163.0,7,66,1992-11-05,4,Marge Gets a Job,22.9,7.8
265,719.0,17,265,2001-04-01,12,Simpson Safari,13.3,6.9
18,1381.0,5,18,1990-11-08,2,Dancin' Homer,26.1,7.5
164,998.0,11,164,1997-01-19,8,The Twisted World of Marge Simpson,14.0,7.8
298,593.0,7,298,2003-01-05,14,Special Edna,15.0,7.1
459,482.0,18,459,2010-04-18,21,Chief of Hearts,5.93,6.9
106,1051.0,3,106,1994-09-25,6,Another Simpsons Clip Show,13.5,6.0
260,730.0,12,260,2001-02-11,12,Tennis the Menace,14.0,6.9
270,824.0,1,270,2001-11-06,13,Treehouse of Horror XII,13.0,7.5
417,601.0,17,417,2008-04-27,19,Apocalypse Cow,7.69,6.9
193,878.0,15,193,1998-02-22,9,The Last Temptation of Krust,9.5,7.5
262,833.0,14,262,2001-02-25,12,New Kids on the Blecch,18.1,7.2
37,1274.0,2,37,1991-09-26,3,Mr. Lisa Goes to Washington,20.2,7.7
449,542.0,8,449,2009-12-13,21,"O Brother, Where Bart Thou?",7.11,7.2
325,583.0,12,325,2004-02-15,15,Milhouse Doesn't Live Here Anymore,9.4,7.3
507,408.0,21,507,2012-05-13,23,Ned 'n Edna's Blend,4.07,6.7
304,599.0,13,304,2003-03-02,14,A Star Is Born-Again,14.4,7.1
535,442.0,5,535,2013-11-17,25,Labor Pains,4.08,7.1
239,822.0,13,239,2000-02-06,11,Saddlesore Galactica,9.6,6.6
182,1019.0,4,182,1997-10-26,9,Treehouse of Horror VIII,10.9,8.1
68,1595.0,9,68,1992-11-19,4,Mr. Plow,24.0,8.8
253,762.0,5,253,2000-11-26,12,Homer vs. Dignity,15.0,7.2
217,815.0,14,217,1999-02-14,10,I'm with Cupid,7.7,7.3
208,934.0,5,208,1998-11-08,10,When You Dish Upon a Star,9.0,7.3
139,1146.0,11,139,1995-12-17,7,Marge Be Not Proud,16.7,8.3
245,805.0,19,245,2000-04-30,11,Kill the Alligator and Run,7.46,6.6
460,511.0,19,460,2010-04-25,21,The Squirt and the Whale,5.94,6.9
25,1392.0,12,25,1991-01-31,2,The Way We Was,26.8,8.2
30,1243.0,17,30,1991-03-28,2,Old Money,21.2,7.6
538,449.0,8,538,2013-12-15,25,White Christmas Blues,8.48,6.5
67,1240.0,8,67,1992-11-12,4,New Kid on the Block,23.1,8.2
43,1243.0,8,43,1991-11-07,3,Lisa's Pony,23.0,7.9
194,887.0,16,194,1998-03-01,9,Dumbbell Indemnity,10.3,7.6
551,402.0,21,551,2014-05-11,25,Pay Pal,3.66,6.7
363,560.0,7,363,2005-11-27,17,The Last of the Red Hat Mamas,11.46,6.7
82,1416.0,1,82,1993-09-30,5,Homer's Barbershop Quartet,19.9,8.4
6,1674.0,6,6,1990-02-11,1,Moaning Lisa,27.4,7.6
148,1110.0,20,148,1996-03-31,7,Bart on the Road,11.8,8.6
93,1123.0,12,93,1994-02-03,5,Bart Gets Famous,20.0,8.1
403,637.0,3,403,2007-10-07,19,Midnight Towboy,7.7,7.2
254,782.0,6,254,2000-12-03,12,The Computer Wore Menace Shoes,15.6,7.7
321,589.0,8,321,2004-01-04,15,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",12.0,6.7
241,777.0,15,241,2000-02-20,11,Missionary: Impossible,9.8,7.3
357,618.0,1,357,2005-09-11,17,The Bonfire of the Manatees,11.1,6.3
180,1158.0,2,180,1997-09-28,9,The Principal and the Pauper,14.9,7.4
499,490.0,13,499,2012-02-12,23,The Daughter Also Rises,4.26,6.5
5,1732.0,5,5,1990-02-04,1,Bart the General,27.1,8.1
137,1023.0,9,137,1995-11-26,7,Sideshow Bob's Last Gleaming,14.2,8.0
213,928.0,10,213,1999-01-10,10,Viva Ned Flanders,11.5,7.8
